ogc_fid,id,name,base_funding,collector_promotion,income,houses,electricity_per_household,consumed_electricity,max_consumed_electricity,area_per_household,persons_per_household,total_funding,total_price,debt,debt_rate
2,2,bern,1200,61.5,55310.39437,2807.143662,22434.04667,3530.785255,3716.616058,150.9300697,3.016901408,6859.877616,14190.18747,7330.309857,0.51657597
7,7,nidwalden,3000,61.5,75170.63636,3802.090909,12020.73878,3563.296405,3750.838321,88.29327551,3,6310.997831,8301.183019,1990.185187,0.239747176
25,25,genf,1200,61.5,110688.2889,10199.8,10831.48574,4249.405796,4473.058732,66.5584116,3.644444444,3695.940435,6257.708223,2561.767788,0.409377954
15,15,appenzell_ausserrhoden,3000,61.5,59759.7,2676.85,17166.20716,3741.170868,3938.074598,118.9923776,3.05,7462.214159,11187.46018,3725.246023,0.33298407
6,6,obwalden,1200,61.5,79368.57143,5215.285714,16616.71676,3706.475811,3901.553485,117.3429322,3,5600.359958,11032.38215,5432.022187,0.492370742
21,21,tessin,2500,61.5,57937.40741,2563.140741,23094.1612,3397.485929,3576.300978,154.1285928,2.911111111,8279.822228,14490.90714,6211.084916,0.428619468
12,12,basel_stadt,2500,98.4,101276.6667,62170,7605.517649,3325.298911,3500.314643,53.06809178,3,5684.085507,4989.371385,-694.7141216,-0.139238807
18,18,graubunden,2000,61.5,52822.632,1549.296,31008.77408,3496.741309,3680.780325,196.618675,2.976,9373.200314,18485.75214,9112.551823,0.492950017
24,24,neuenburg,1200,61.5,60559.94595,4726.918919,18724.8752,3591.917787,3780.966092,119.8598057,3.027027027,5694.742715,11269.0143,5574.271582,0.494654762
19,19,aargau,1200,61.5,68021.62911,3030.173709,15791.61048,3609.829631,3799.820665,105.5633084,3,5158.624064,9924.882024,4766.25796,0.480233211
1,1,zurich,2000,61.5,77484.73964,8507.159763,12795.46942,3605.274738,3795.02604,86.07225725,3,5227.709647,8092.366674,2864.657027,0.353994961
8,8,glarus,4000,61.5,58121.66667,13061.33333,16215.76596,3483.501942,3666.844149,118.3310349,3,8437.41381,11125.28188,2687.868066,0.241599997
3,3,luzern,2000,61.5,64105.63855,4716.180723,18842.96092,3891.300902,4096.106212,126.0642244,3.168674699,6727.408415,11852.34315,5124.934732,0.432398444
10,10,freiburg,1800,92.25,64425.69136,1858.728395,20543.00818,3833.49021,4035.252853,126.7567907,3.055555556,8930.069475,11917.45705,2987.38757,0.25067324
11,11,solothum,1800,92.25,63405.05505,2405.880734,18016.35264,3578.452474,3766.792078,121.635357,3.018348624,8641.988833,11435.9486,2793.959765,0.244313774
13,13,basel_landschaft,3000,73.8,70412.02326,3243.616279,14764.79381,3564.507338,3752.112987,101.6108666,2.988372093,7572.488997,9553.280195,1980.791199,0.207341474
14,14,schaffhausen,1500,73.8,64438.5,3013.692308,21324.02285,3581.832199,3770.349683,141.825638,3,7882.153711,13334.20435,5452.050634,0.408877087
16,16,appenzell_innerrhoden,1200,61.5,64884.16667,2610.166667,19716.81915,4019.357798,4230.902946,137.1346089,3.666666667,6342.547832,12893.16179,6550.61396,0.508068856
5,5,schwyz,3000,61.5,77679.13333,5048.766667,14040.08803,3711.797697,3907.15547,99.58068043,3.066666667,6734.275516,9362.405559,2628.130042,0.28071098
20,20,thurgau,1500,73.8,66000.775,3293.15,20945.61585,3691.035223,3885.300235,139.5189995,3.025,7778.35498,13117.33813,5338.983155,0.40701727
22,22,waadt,2500,61.5,77222.92453,2376.647799,19462.64861,3789.68149,3989.138411,119.0376477,3.056603774,6963.911788,11191.7164,4227.804612,0.37776195
23,23,wallis,1200,79.95,44609.23881,2451.69403,23919.58752,3544.021743,3730.549203,145.1642184,2.985074627,8276.755648,13648.09197,5371.336327,0.393559505
26,26,jura,1500,61.5,51993.73684,1255.701754,29445.10205,3730.677769,3927.029231,193.284476,3.052631579,8748.167848,18172.27643,9424.108583,0.51859813
4,4,uri,8000,73.8,54518.4,1760.6,21237.8927,3665.508018,3858.429493,149.6437599,3.05,14733.9692,14069.25082,-664.7183779,-0.047246182
